Staff_ID,First_Name,Last_Name,Gender,Salary,Rank,Origin Country,DOB,Hire_Date
A740103,Wilson,Dawes,M,87975,Professor,AU,22-Jan-49,1/1/1974
A740121,Irenie,Elvish,F,26600,Instructor II,US,2-Aug-44,1/1/1974
A740134,Sian,Shannan,M,28015,Instructor II,AU,6-Jun-49,1/1/1974
A740151,Julianna,Phaiyakounh,F,26520,Instructor II,US,21-Nov-44,1/1/1974
A740154,Caterina,Hayawardhana,F,30490,Teaching Fellow,US,20-Jul-44,1/1/1974
A740166,Fadi,Nowd,M,30660,Teaching Fellow,AU,14-Jun-44,1/1/1974
A740172,Edwin,Comber,M,28345,Instructor III,US,1-Apr-44,1/1/1974
A740174,Doungkamol,Simms,F,26850,Instructor I,AU,10-Jan-44,1/1/1974
A741018,Julienne,Magolan,F,27560,Instructor II,AU,3-Jan-44,1/1/1974
A741035,James,Blackley,M,26460,Instructor II,AU,25-Mar-44,1/1/1974
A741041,Jaime,Wetherington,F,26120,Instructor II,AU,4-Feb-44,1/1/1974
A741060,Elizabeth,Spofford,F,28800,Instructor III,AU,8-Jun-44,1/1/1974
A741066,Ceresh,Norman,F,27250,Instructor II,US,23-Aug-44,1/1/1974
A741073,Donald,Court,M,27100,Instructor I,TW,15-May-49,1/1/1974
A741075,Kasha,Sugg,F,28395,Instructor II,AU,23-Dec-44,1/1/1974
A741086,John-Michael,Plybon,M,26820,Instructor I,AU,16-Dec-44,1/1/1974
A741138,Hershell,Tolley,M,27265,Instructor I,AU,28-Feb-49,1/1/1974
A740167,Kimiko,Tilley,F,25185,Instructor I,AU,4-May-54,1/2/1974
A741053,Tywanna,Mcdade,F,29955,Instructor III,AU,23-Sep-44,1/2/1974
A740178,Billy,Plested,M,26165,Instructor II,TW,23-Nov-54,1/4/1974
A741089,Gregory,Sauder,M,28095,Instructor II,US,21-Aug-54,1/7/1974
A741135,Tammy,Ruta,F,27010,Instructor I,UK,7-Jun-54,1/8/1974
A740160,Chuck,Segrave,M,27115,Instructor I,TW,9-Sep-54,1/10/1974
A751044,Ray,Abbott,M,25660,Instructor I,AU,11-Dec-54,1/8/1975
A751025,Barnaby,Cassey,M,28295,Instructor II,UK,10-Oct-49,1/9/1975
A761081,Susie,Knudson,F,30235,Teaching Fellow,AU,28-Mar-49,1/4/1976
A761100,Tzue-Ing,Cormell,M,28135,Instructor II,UK,27-Apr-49,1/4/1976
A761145,Dennis,Lansberry,M,84260,Professor,US,22-Nov-49,1/4/1976
A761054,Daniel,Pulliam,M,29805,Instructor III,TW,12-Nov-54,1/11/1976
A770173,Hernani,Osborn,M,26715,Instructor I,TW,23-Feb-54,1/6/1977
A771071,John,Hoppmann,M,28625,Instructor III,AU,10-Sep-59,1/9/1977
A771082,Richard,Debank,M,28510,Instructor III,TW,5-Jul-49,1/10/1977
A780148,Michael,Zubak,M,28480,Instructor III,UK,13-Sep-49,1/6/1978
A780122,Christina,Ngan,F,27475,Instructor II,US,27-Jul-54,1/7/1978
A781094,Larry,Tate,M,26555,Instructor I,AU,7-Jan-54,1/9/1978
A780132,Fancine,Kaiser,F,28525,Instructor III,AU,5-Apr-49,1/10/1978
A781051,Glorina,Myers,F,26025,Instructor I,TW,2-May-49,1/11/1978
A781078,Lionel,Wende,M,27485,Instructor I,AU,1-May-49,1/11/1978
A780180,Vino,George,M,26970,Instructor II,AU,27-Jun-54,1/12/1978
A790124,Lucian,Daymond,M,26480,Instructor I,AU,13-May-59,1/3/1979
A790125,Fong,Hofmeister,M,32040,Assistant Professor,AU,6-Dec-54,1/3/1979
A791083,Tingmei,Sutton,F,27245,Instructor I,AU,11-Mar-59,1/3/1979
A801090,Betty,Klibbe,F,26600,Instructor I,TW,19-Jun-54,1/2/1980
A801039,Donald,Washington,M,27460,Instructor II,AU,3-Jun-54,1/5/1980
A800146,Wendall,Cederlund,M,25985,Instructor I,UK,2-Oct-59,1/8/1980
A801057,Tachaun,Voron,M,25125,Instructor I,AU,26-Dec-59,1/12/1980
A811059,Jacqulin,Carhide,F,27425,Instructor II,AU,25-Oct-59,1/4/1981
A820164,Ranj,Stamalis,F,27450,Instructor II,AU,26-Nov-59,1/2/1982
A820150,John,Filo,M,29965,Instructor III,AU,9-Jul-54,1/8/1982
A820143,Phu,Sloey,M,26790,Instructor II,UK,17-May-59,1/10/1982
A821040,Brienne,Darrohn,F,29525,Instructor III,AU,6-Jul-59,1/11/1982
A831076,Micah,Cobb,M,26685,Instructor II,AU,9-Oct-64,1/1/1983
A841061,Lauris,Hassam,M,29815,Instructor III,AU,16-Jul-54,1/7/1984
A850145,Sandy,Aisbitt,M,26060,Instructor II,AU,22-Jan-64,1/6/1985
A851031,Scott,Filan,M,28060,Instructor III,UK,9-Jul-64,1/8/1985
A850123,Kimiko,Hotstone,F,26190,Instructor I,AU,28-Sep-64,1/10/1985
A850129,Alvin,Roebuck,M,30070,Teaching Fellow,TW,22-Nov-64,1/10/1985
A861104,Leoma,Johnson,F,28315,Instructor II,AU,12-Nov-64,1/4/1986
A860159,Lynelle,Phoumirath,F,30765,Teaching Fellow,AU,24-Feb-64,1/7/1986
A870158,Daniel,Pilgrim,M,36605,Assistant Professor,TW,14-Jul-64,1/7/1987
A871139,Diosdado,Mckee,F,27700,Instructor II,UK,19-Aug-59,1/7/1987
A870261,Harry,Highpoint,M,243190,Vice President,UK,21-Feb-69,1/8/1987
A871080,Kumar,Chinnis,M,32235,Assistant Professor,US,24-Jan-59,1/9/1987
A881074,Eric,Michonski,M,26990,Instructor I,AU,1-Mar-59,1/10/1988
A891091,Ernest,Kadiri,M,27325,Instructor II,TW,19-Feb-69,1/1/1989
A891023,Shawn,Fuller,M,26010,Instructor I,AU,13-Mar-64,1/5/1989
A890102,Tom,Zhou,M,108255,Chair Professor,UK,11-Aug-69,1/6/1989
A891027,Allan,Rudder,M,26165,Instructor II,UK,5-May-64,1/12/1989
A891029,Kuo-Chung,Mcelwee,M,27225,Instructor I,AU,22-Dec-64,1/12/1989
A901109,Harold,Boulus,M,26035,Instructor I,AU,5-Nov-69,1/5/1990
A901069,Jason,Lapsley,M,26195,Instructor II,US,19-Mar-69,1/10/1990
A910163,Brett,Magrath,M,26735,Instructor II,TW,22-May-64,1/1/1991
A911084,Tulsidas,Ould,M,22710,Instructor I,AU,16-Aug-64,1/1/1991
A911095,Sara,Kratzke,F,28010,Instructor II,UK,14-Apr-69,1/7/1991
A911064,Asishana,Polky,M,25110,Instructor I,AU,28-Jan-64,1/9/1991
A911144,Renee,Capachietti,F,83505,Professor,US,28-Jun-64,1/11/1991
A921043,Sigrid,Kagarise,F,28225,Instructor II,UK,9-Nov-69,1/3/1992
A921068,Salaheloin,Osuba,M,27550,Instructor II,US,2-Dec-69,1/9/1992
A920170,Alban,Kingston,M,28830,Instructor III,AU,25-Feb-74,1/10/1992
A930149,Judy,Chantharasy,F,26390,Instructor I,TW,21-Nov-74,1/1/1993
A941045,Cascile,Hampton,F,28560,Instructor II,AU,13-Jun-64,1/1/1994
A941093,Carl,Vasconcellos,M,27410,Instructor I,UK,18-Jul-64,1/1/1994
A941021,Priscilla,Farren,F,32985,Teaching Fellow,AU,10-Dec-74,1/3/1994
A951096,Robert,Newstead,M,26335,Instructor I,UK,18-May-69,1/5/1995
A951097,Willeta,Chernega,F,26830,Instructor II,US,23-Oct-74,1/10/1995
A961106,James,Hilburger,M,25880,Instructor I,AU,2-Feb-69,1/2/1996
A971143,Louis,Favaron,M,95090,Chair Professor,AU,26-Nov-69,1/7/1997
A970135,Alexei,Platts,M,32490,Assistant Professor,UK,26-Jan-69,1/10/1997
A971079,Azmi,Mees,M,25770,Instructor I,US,3-Jun-74,1/11/1997
A980153,Samantha,Waal,F,27260,Instructor I,AU,7-May-79,1/1/1998
A980177,Franca,Kierce,F,28745,Instructor III,AU,5-Apr-79,1/2/1998
A980127,Sharryn,Clarkson,F,28100,Instructor II,AU,4-Jan-79,1/11/1998
A991087,Virtina,O'Suilleabhain,F,28325,Instructor II,AU,7-Dec-74,1/3/1999
A991042,Joseph,Robbin-Coker,M,28845,Instructor III,AU,4-Apr-79,1/11/1999
A001099,Royall,Mrvichin,M,32725,Assistant Professor,AU,19-Mar-79,1/5/2000
A011030,Jeryl,Areu,M,26745,Instructor I,US,12-Nov-79,1/2/2001
A011140,Saunders,Briggi,M,26335,Instructor I,US,23-Jan-79,1/4/2001
A021022,Robert,Stevens,M,32210,Assistant Professor,UK,28-Oct-79,1/2/2002
A021037,Muthukumar,Miketa,M,28310,Instructor III,TW,12-Jun-74,1/3/2002
A021020,Cherda,Ridley,F,31750,Teaching Fellow,US,23-Feb-84,1/5/2002
A021092,Gynell,Pritt,F,25680,Instructor I,AU,8-Mar-74,1/8/2002
A021058,Del,Kohake,M,26270,Instructor I,AU,12-Jul-74,1/10/2002
A021136,Lesia,Galarneau,F,27460,Instructor I,US,15-Jul-74,1/12/2002
A030131,Marinus,Surawski,M,26910,Instructor I,AU,25-Sep-79,1/1/2003
A031105,Jessica,Savacool,F,29545,Instructor III,AU,9-May-79,1/1/2003
A030136,Atul,Leyden,M,26605,Instructor I,US,16-Sep-79,1/2/2003
A031056,Stacey,Lyszyk,F,28325,Instructor II,TW,5-Jul-84,1/5/2003
A031036,Teresa,Mesley,F,25965,Instructor I,AU,18-Jul-88,1/10/2003
